21860.0000,74.0000,1578.0000,0.9327,0.9966,0.9636,21934.0000
27.0000,384.0000,37.0000,0.4219,0.0657,0.1137,411.0000
23.0000,120.0000,67.0000,0.2556,0.1608,0.1974,143.0000
16.0000,105.0000,27.0000,0.3721,0.1322,0.1951,121.0000
5.0000,170.0000,9.0000,0.3571,0.0286,0.0529,175.0000
7.0000,36.0000,19.0000,0.2692,0.1628,0.2029,43.0000
0.0000,150.0000,0.0000,0.0000,0.0000,0.0000,150.0000
14.0000,223.0000,22.0000,0.3889,0.0591,0.1026,237.0000
0.0000,77.0000,12.0000,0.0000,0.0000,0.0000,77.0000
4.0000,62.0000,5.0000,0.4444,0.0606,0.1067,66.0000
0.0000,121.0000,4.0000,0.0000,0.0000,0.0000,121.0000
5.0000,226.0000,10.0000,0.3333,0.0216,0.0407,231.0000
0.0000,42.0000,0.0000,0.0000,0.0000,0.0000,42.0000
